Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	D:\Roger\Heterofiber_project\revision\nemaline_myopathy_bulk\X1768\raw\20240522_TIMS6_EVO4_PRI_DIA_30SPD_X1768_P0008_R1296_control_1_S2-A1_1_9734.d	D:\Roger\Heterofiber_project\revision\nemaline_myopathy_bulk\X1768\raw\20240522_TIMS6_EVO4_PRI_DIA_30SPD_X1768_P0008_R1296_control_2_S2-A2_1_9735.d	D:\Roger\Heterofiber_project\revision\nemaline_myopathy_bulk\X1768\raw\20240522_TIMS6_EVO4_PRI_DIA_30SPD_X1768_P0008_R1296_control_3_S2-A3_1_9736.d	D:\Roger\Heterofiber_project\revision\nemaline_myopathy_bulk\X1768\raw\20240522_TIMS6_EVO4_PRI_DIA_30SPD_X1768_P0008_R1296_troponin_1_S2-A4_1_9737.d	D:\Roger\Heterofiber_project\revision\nemaline_myopathy_bulk\X1768\raw\20240522_TIMS6_EVO4_PRI_DIA_30SPD_X1768_P0008_R1296_troponin_2_S2-A5_1_9738.d	D:\Roger\Heterofiber_project\revision\nemaline_myopathy_bulk\X1768\raw\20240522_TIMS6_EVO4_PRI_DIA_30SPD_X1768_P0008_R1296_troponin_3_S2-A6_1_9739.d
A1L0T0	A1L0T0	HACL2_HUMAN	ILVBL	2-hydroxyacyl-CoA lyase 2	1047.69	2271.16	1404.32		2986.39	2336.06
A1L4K1	A1L4K1	FSD2_HUMAN	FSD2	Fibronectin type III and SPRY domain-containing protein 2		890.138	1048.57		1133.82	
A2A2Y4	A2A2Y4	FRMD3_HUMAN	FRMD3	FERM domain-containing protein 3	608.012		593.141		501.23	
A2RRP1	A2RRP1	NBAS_HUMAN	NBAS	NBAS subunit of NRZ tethering complex	769.396	305.576	493.371	952.38	771.85	
A3KMH1	A3KMH1	VWA8_HUMAN	VWA8	von Willebrand factor A domain-containing protein 8	2836.96	3264.75	2689.85		5822.06	4980.36
A4D1E9	A4D1E9	GTPBA_HUMAN	GTPBP10	GTP-binding protein 10	94.5498		37.0628			
A4UGR9	A4UGR9	XIRP2_HUMAN	XIRP2	Xin actin-binding repeat-containing protein 2	1296.8	2922.89	2345.42	3679.93	9165.41	13358.6
A5A3E0	A5A3E0	POTEF_HUMAN	POTEF	POTE ankyrin domain family member F	113593	208359	152946	350859	230381	201932
A5D6W6	A5D6W6	FITM1_HUMAN	FITM1	Fat storage-inducing transmembrane protein 1	1734.11	2885.77	2121.91	2081.06	1459.24	2271.91
A5YM72	A5YM72	CRNS1_HUMAN	CARNS1	Carnosine synthase 1		1285.12	553.57		1682.96	1589.14
A6NDG6	A6NDG6	PGP_HUMAN	PGP	Glycerol-3-phosphate phosphatase	8506.82	12425.3	8587.06	2905.35	6514.42	5340.77
A6NHZ5	A6NHZ5	LR14B_HUMAN	LRRC14B	Leucine-rich repeat-containing protein 14B	640.553	1052.48	810.037		862.58	1037.13
A6NMZ7	A6NMZ7	CO6A6_HUMAN	COL6A6	Collagen alpha-6(VI) chain			408.953	5174	4186.77	1777.13
A6NNS2	A6NNS2	DRS7C_HUMAN	DHRS7C	Dehydrogenase/reductase SDR family member 7C	8662.35	8116.72	7742.06	3084.45	4849.3	3248.37
A8MU46	A8MU46	SMTL1_HUMAN	SMTNL1	Smoothelin-like protein 1	30806.3	16545	48760.2	23320.3	56361.6	23027.8
A8MXV4	A8MXV4	NUD19_HUMAN	NUDT19	Acyl-coenzyme A diphosphatase NUDT19	2243.99	3040.58	1979.07	1355.19	2600.19	
A8MZF0	A8MZF0	PRR33_HUMAN	PRR33	Proline-rich protein 33	3343.14	4157.68	3895.15	5332.62	2894.69	4450.9
B0YJ81	B0YJ81	HACD1_HUMAN	HACD1	Very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase 1		1304.96	2027.94	984.065	1106.4	1506.27
E7EW31	E7EW31	PROB1_HUMAN	PROB1	Proline-rich basic protein 1	2729.77	3343.85	4309.6	1360.11	3220.15	3747.2
E9PAV3	E9PAV3	NACAM_HUMAN	NACA	Nascent polypeptide-associated complex subunit alpha, muscle-specific form	6278.35	7228.67	6914.29	5550.51	8523.68	10764.8
E9PB15	E9PB15	PTG3L_HUMAN	PTGES3L	Putative protein PTGES3L	2322.24	1142.73	2271.4	2179.56	3522.89	
O00116	O00116	ADAS_HUMAN	AGPS	Alkyldihydroxyacetonephosphate synthase, peroxisomal			541.037			
O00151	O00151	PDLI1_HUMAN	PDLIM1	PDZ and LIM domain protein 1	14662.6	11106.2	10788.6	3232.08	8689.66	18432
O00159	O00159	MYO1C_HUMAN	MYO1C	Unconventional myosin-Ic	3269.87	4408	3509.07	4026.02	10976.7	9657.65
O00161	O00161	SNP23_HUMAN	SNAP23	Synaptosomal-associated protein 23	797.389			970.052		
O00165	O00165	HAX1_HUMAN	HAX1	HCLS1-associated protein X-1	1232.7	1333.54	1195.45	1184.58	1246.06	1087.79
O00186	O00186	STXB3_HUMAN	STXBP3	Syntaxin-binding protein 3	1532.17	1811.52	1577.84	2935.39		2171.29
O00217	O00217	NDUS8_HUMAN	NDUFS8	NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial	58223.9	51720.7	50522	22830.4	37300.2	8786.43
O00231	O00231	PSD11_HUMAN	PSMD11	26S proteasome non-ATPase regulatory subunit 11	7573.92	7465.96	7298.58	7908.81	10578.5	12916.6
O00232	O00232	PSD12_HUMAN	PSMD12	26S proteasome non-ATPase regulatory subunit 12	2327.53	1666.7	1093.93	4645.44	3095.44	2721.07
O00244	O00244	ATOX1_HUMAN	ATOX1	Copper transport protein ATOX1	1675.82	3934.45	2658.7		3440.97	2821.66
O00264	O00264	PGRC1_HUMAN	PGRMC1	Membrane-associated progesterone receptor component 1		1103.49	696.301	3721.77	3268.38	5267.17
O00299	O00299	CLIC1_HUMAN	CLIC1	Chloride intracellular channel protein 1			1118.32		4060.06	3699.85
O00303	O00303	EIF3F_HUMAN	EIF3F	Eukaryotic translation initiation factor 3 subunit F	1367.53	1362.49	895.583	2308.02	1269.79	1854.28
O00330	O00330	ODPX_HUMAN	PDHX	Pyruvate dehydrogenase protein X component, mitochondrial	6975.68	6745.42	7630.39		4450.42	
O00410	O00410	IPO5_HUMAN	IPO5	Importin-5	13212.3	15188.4	13201.2	20204.7	18312.9	22045.8
O00423	O00423	EMAL1_HUMAN	EML1	Echinoderm microtubule-associated protein-like 1	527.245	1390.77	1468.7		828.523	968.066
O00429	O00429	DNM1L_HUMAN	DNM1L	Dynamin-1-like protein	5450.87	6351.98	5574.51	1713.24	5008.2	3587.83
O00442	O00442	RTCA_HUMAN	RTCA	RNA 3'-terminal phosphate cyclase	1340.45	2235.94	1128.78			
O00468	O00468	AGRIN_HUMAN	AGRN	Agrin	1036.36					828.323
O00483	O00483	NDUA4_HUMAN	NDUFA4	Cytochrome c oxidase subunit NDUFA4	22984.2	19456.9	17975	8297.5	21315.2	7386.13
O00499	O00499	BIN1_HUMAN	BIN1	Myc box-dependent-interacting protein 1	115607	115041	107785	122268	111160	88148.8
O00505	O00505	IMA4_HUMAN	KPNA3	Importin subunit alpha-4	3065.09	5775.72	5971.06	4206.38	6836.6	5287.77
O00571	O00571	DDX3X_HUMAN	DDX3X	ATP-dependent RNA helicase DDX3X	2506.34	2609.13	3001.82	3995.98	2533.67	4565.41
O00629	O00629	IMA3_HUMAN	KPNA4	Importin subunit alpha-3	6598.72	9664.15	9716.5	10758.2	8239.8	6634.57
O00748	O00748	EST2_HUMAN	CES2	Cocaine esterase	2830.5	1649.36	3177.75		2155.92	7075.11
O00757	O00757	F16P2_HUMAN	FBP2	Fructose-1,6-bisphosphatase isozyme 2	13028.5	24538.3	22131.9	19563.8	20439.7	14715.3
O14558	O14558	HSPB6_HUMAN	HSPB6	Heat shock protein beta-6	499321	337723	497540	128339	491833	305268
O14561	O14561	ACPM_HUMAN	NDUFAB1	Acyl carrier protein, mitochondrial	40396.8	51760.3	54499.7	20167	34001.4	22121.5
O14602	O14602	IF1AY_HUMAN	EIF1AY	Eukaryotic translation initiation factor 1A, Y-chromosomal		547.448	309.567		348.681	
O14618	O14618	CCS_HUMAN	CCS	Copper chaperone for superoxide dismutase	692.524	658.219	890.217			
O14639	O14639	ABLM1_HUMAN	ABLIM1	Actin-binding LIM protein 1	1823.91	1528.74	1512.74	909.256	1069.58	2038.96
O14653	O14653	GOSR2_HUMAN	GOSR2	Golgi SNAP receptor complex member 2	883.231		611.039			
O14732	O14732	IMPA2_HUMAN	IMPA2	Inositol monophosphatase 2		701.863	1390.34		1654.69	1335.01
O14737	O14737	PDCD5_HUMAN	PDCD5	Programmed cell death protein 5	6590.92	6274.78	6981.18	4999.35	4487.85	5580.87
O14773	O14773	TPP1_HUMAN	TPP1	Tripeptidyl-peptidase 1	7759.4	8992.09	7397.21	4704.23	7403.57	11442.6
O14786	O14786	NRP1_HUMAN	NRP1	Neuropilin-1		835.461			1067.82	
O14818	O14818	PSA7_HUMAN	PSMA7	Proteasome subunit alpha type-7	16815	12160.1	10952.4	11180	11566.5	9762.65
O14832	O14832	PAHX_HUMAN	PHYH	Phytanoyl-CoA dioxygenase, peroxisomal		1403.91	779.187			
O14841	O14841	OPLA_HUMAN	OPLAH	5-oxoprolinase	3388.12	2605.4	2814.29	1989.54	2132.15	823.387
O14874	O14874	BCKD_HUMAN	BCKDK	[3-methyl-2-oxobutanoate dehydrogenase [lipoamide]] kinase, mitochondrial	715.764	1025.82	484.181	1767.64	1084.89	1461.64
O14880	O14880	MGST3_HUMAN	MGST3	Microsomal glutathione S-transferase 3	8204.71	7959.15	9337.69	3130.77	7644.45	4781.83
O14949	O14949	QCR8_HUMAN	UQCRQ	Cytochrome b-c1 complex subunit 8	96632	113886	109369	17311.7	62261.4	22374.4
O14950	O14950	ML12B_HUMAN	MYL12B	Myosin regulatory light chain 12B	5031.11	5183.5	4274.83	7975.24	10256.3	14345.9
O14957	O14957	QCR10_HUMAN	UQCR11	Cytochrome b-c1 complex subunit 10	5052.19	6719.88	6607.09	4620.91	4777.57	2640.61
O14958	O14958	CASQ2_HUMAN	CASQ2	Calsequestrin-2	71779.2	62017.1	53184.2	173003	155025	253436
O14964	O14964	HGS_HUMAN	HGS	Hepatocyte growth factor-regulated tyrosine kinase substrate	1698.8	1024.69	2520.08			
O14979	O14979	HNRDL_HUMAN	HNRNPDL	Heterogeneous nuclear ribonucleoprotein D-like	14303.7	15641.5	11280.1	12631.2	22937.2	20246.1
O14980	O14980	XPO1_HUMAN	XPO1	Exportin-1	3535.62	5936.29	3754.64	7210.62	5508.51	11183.8
O14983	O14983	AT2A1_HUMAN	ATP2A1	Sarcoplasmic/endoplasmic reticulum calcium ATPase 1	128899	205693	194204	311342	183842	138921
O15054	O15054	KDM6B_HUMAN	KDM6B	Lysine-specific demethylase 6B	175154	119010	177042	57792.3	94827.9	231646
O15061	O15061	SYNEM_HUMAN	SYNM	Synemin	19343.2	20855.5	28744.7	31218.5	25948.5	21746.3
O15075	O15075	DCLK1_HUMAN	DCLK1	Serine/threonine-protein kinase DCLK1					1432.86	1229.08
O15145	O15145	ARPC3_HUMAN	ARPC3	Actin-related protein 2/3 complex subunit 3	1451.16	739.593			2428.37	2648.56
O15173	O15173	PGRC2_HUMAN	PGRMC2	Membrane-associated progesterone receptor component 2	3920.25	2525.76	3959.03	3608.6	4246.65	3444.63
O15212	O15212	PFD6_HUMAN	PFDN6	Prefoldin subunit 6	3896.96	3690.3	2749.77		4908.93	4740.8
O15230	O15230	LAMA5_HUMAN	LAMA5	Laminin subunit alpha-5			391.273	1532.84	826.774	
O15258	O15258	RER1_HUMAN	RER1	Protein RER1	1345.94	1056.79	1228.39	2211.29		2984.19
O15260	O15260	SURF4_HUMAN	SURF4	Surfeit locus protein 4	487.06	225.666	385.074	1087.3	1487.07	1186.42
O15273	O15273	TELT_HUMAN	TCAP	Telethonin	8641.37	8562.36	6824.08	11809.1	9621.32	6702.88
O15327	O15327	INP4B_HUMAN	INPP4B	Inositol polyphosphate 4-phosphatase type II			670.353			598.802
O15371	O15371	EIF3D_HUMAN	EIF3D	Eukaryotic translation initiation factor 3 subunit D		4279.05	2069	1773.75	6532.14	8623.56
O15372	O15372	EIF3H_HUMAN	EIF3H	Eukaryotic translation initiation factor 3 subunit H	3150.77	2964.77	3287.18	3154.58	3268.22	2775.31
O15382	O15382	BCAT2_HUMAN	BCAT2	Branched-chain-amino-acid aminotransferase, mitochondrial	2944.38	2739.26	2974.47	5883.16	7815.71	
O15427	O15427	MOT4_HUMAN	SLC16A3	Monocarboxylate transporter 4		1546.41	1055.26	2958.9	1579.07	
O15523	O15523	DDX3Y_HUMAN	DDX3Y	ATP-dependent RNA helicase DDX3Y	2884.95	4050.87	3474.26	3477.33	4346.25	7256.19
O43169	O43169	CYB5B_HUMAN	CYB5B	Cytochrome b5 type B	28664.4	28873.4	30137	20754.2	26479.7	17798.3
O43181	O43181	NDUS4_HUMAN	NDUFS4	NADH dehydrogenase [ubiquinone] iron-sulfur protein 4, mitochondrial	18589.8	19286.1	17826.7	2368.8	13728.4	4468.02
O43242	O43242	PSMD3_HUMAN	PSMD3	26S proteasome non-ATPase regulatory subunit 3	3096.67	4590.04	3790.17	5405.22	5706.31	5262.18
O43390	O43390	HNRPR_HUMAN	HNRNPR	Heterogeneous nuclear ribonucleoprotein R	749.394		1241.23			3965.59
O43396	O43396	TXNL1_HUMAN	TXNL1	Thioredoxin-like protein 1	4918.22	5594.15	6233.71	2721.53	3354.85	7196.02
O43399	O43399	TPD54_HUMAN	TPD52L2	Tumor protein D54	1023.73	1954.61	1289.95		1366.08	2173.63
O43464	O43464	HTRA2_HUMAN	HTRA2	Serine protease HTRA2, mitochondrial	1259.68	1348.13	730.938		540.04	
O43488	O43488	ARK72_HUMAN	AKR7A2	Aflatoxin B1 aldehyde reductase member 2	5364.79	6797.4	5428.81	4861.01	7191.14	7161.25
O43504	O43504	LTOR5_HUMAN	LAMTOR5	Ragulator complex protein LAMTOR5	4148.09	4093.4	3989.87	1225.04	4523.73	3613.34
O43583	O43583	DENR_HUMAN	DENR	Density-regulated protein		902.058	662.739			
O43598	O43598	DNPH1_HUMAN	DNPH1	2'-deoxynucleoside 5'-phosphate N-hydrolase 1	13324.9	14933.5	9103.89		19131.4	10945.3
O43615	O43615	TIM44_HUMAN	TIMM44	Mitochondrial import inner membrane translocase subunit TIM44	4872.07	6801.91	5213.32	2127.03	5330.1	3055.11
O43617	O43617	TPPC3_HUMAN	TRAPPC3	Trafficking protein particle complex subunit 3				1925.29	1588.68	1240.41
O43633	O43633	CHM2A_HUMAN	CHMP2A	Charged multivesicular body protein 2a	1714.64	1784.57	2241.13	1843.12	2504.25	2309.99
O43670	O43670	ZN207_HUMAN	ZNF207	BUB3-interacting and GLEBS motif-containing protein ZNF207	1068.92					2874.15
O43674	O43674	NDUB5_HUMAN	NDUFB5	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 5, mitochondrial	2924.19	2788.83	1763.47	2411.77	3041.27	1342.69
O43676	O43676	NDUB3_HUMAN	NDUFB3	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 3	4502.46	4832.69	4044.7	2804	3507.37	1413.13
O43677	O43677	NDUC1_HUMAN	NDUFC1	NADH dehydrogenase [ubiquinone] 1 subunit C1, mitochondrial	2545.3	4781.1	3343.57	2571.17	4095.89	1170.81
O43678	O43678	NDUA2_HUMAN	NDUFA2	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 2	4644.67	5884.85	4759.18	1246.35	6027.57	2379.84
O43681	O43681	GET3_HUMAN	GET3	ATPase GET3	3428.71	3651.79	3245.08	5474.56	4235.6	5826.77
O43707	O43707	ACTN4_HUMAN	ACTN4	Alpha-actinin-4	6010.74	5281.58	4310.88	8250.98	13408.1	12873.3
O43708	O43708	MAAI_HUMAN	GSTZ1	Maleylacetoacetate isomerase	3272.3	5621.39	9086.57	7662.46	3414.83	2798.62
O43716	O43716	GATC_HUMAN	GATC	Glutamyl-tRNA(Gln) amidotransferase subunit C, mitochondrial	963.247	704.051			555.738	
O43741	O43741	AAKB2_HUMAN	PRKAB2	5'-AMP-activated protein kinase subunit beta-2	4426.44	6513.69	5281.63	9255.01	5681.65	4089.78
O43765	O43765	SGTA_HUMAN	SGTA	Small glutamine-rich tetratricopeptide repeat-containing protein alpha	2241.86	2172.72	2827.22		2454.33	2413.14
O43768	O43768	ENSA_HUMAN	ENSA	Alpha-endosulfine	4028.88	2600.48	2720.2	4136.45		3001.53
O43772	O43772	MCAT_HUMAN	SLC25A20	Mitochondrial carnitine/acylcarnitine carrier protein	6838.72	5271.36	6349.88	2740.06	5201.85	6069.31
O43776	O43776	SYNC_HUMAN	NARS1	Asparagine--tRNA ligase, cytoplasmic		954.947	926.688	877.744	1383.14	2179.46
O43795	O43795	MYO1B_HUMAN	MYO1B	Unconventional myosin-Ib		836.537	354.962			1537.03
O43813	O43813	LANC1_HUMAN	LANCL1	Glutathione S-transferase LANCL1	4249.38	5652.91	6578.5	4286.93	5518.01	2867.31
O43826	O43826	G6PT1_HUMAN	SLC37A4	Glucose-6-phosphate exchanger SLC37A4		1321.15	853.539			
O43837	O43837	IDH3B_HUMAN	IDH3B	Isocitrate dehydrogenase [NAD] subunit beta, mitochondrial	8025.96	7435.11	9842.1	8965.77	8292.95	5287.26
O43852	O43852	CALU_HUMAN	CALU	Calumenin	5739.36	6729.42	6537.79	4796.4	5298.01	6468.57
O43920	O43920	NDUS5_HUMAN	NDUFS5	NADH dehydrogenase [ubiquinone] iron-sulfur protein 5	15957.4	13865.7	11504.4		13627.9	4549.56
O60220	O60220	TIM8A_HUMAN	TIMM8A	Mitochondrial import inner membrane translocase subunit Tim8 A	2513.57	3599.76	2143.33			
O60237	O60237	MYPT2_HUMAN	PPP1R12B	Protein phosphatase 1 regulatory subunit 12B	1364.96	1386.05	1887.82		3608.86	3365.53
O60240	O60240	PLIN1_HUMAN	PLIN1	Perilipin-1			183.163		6529.97	3091.97
O60256	O60256	KPRB_HUMAN	PRPSAP2	Phosphoribosyl pyrophosphate synthase-associated protein 2	1175.68	1566.32	1546.13		1128.75	
O60260	O60260	PRKN_HUMAN	PRKN	E3 ubiquitin-protein ligase parkin		1374.25	1504.28			
O60313	O60313	OPA1_HUMAN	OPA1	Dynamin-like 120 kDa protein, mitochondrial	4455.86	5526.97	5076.14	3811.66	3945.29	4429.81
O60343	O60343	TBCD4_HUMAN	TBC1D4	TBC1 domain family member 4		1266.15	3046.94		969.236	
O60488	O60488	ACSL4_HUMAN	ACSL4	Long-chain-fatty-acid--CoA ligase 4	263.723	371.679	436.207			
O60493	O60493	SNX3_HUMAN	SNX3	Sorting nexin-3	1523.41	1247.31	1393.74			2843.23
O60506	O60506	HNRPQ_HUMAN	SYNCRIP	Heterogeneous nuclear ribonucleoprotein Q	5611.12	5654.82	4421.16	9311.19	8654.47	9781.43
O60573	O60573	IF4E2_HUMAN	EIF4E2	Eukaryotic translation initiation factor 4E type 2	686.898		657.775			
O60662	O60662	KLH41_HUMAN	KLHL41	Kelch-like protein 41	128156	149580	155948	139893	210630	160649
O60664	O60664	PLIN3_HUMAN	PLIN3	Perilipin-3	15853.4	11206.7	13296.2	8357.59	10439	15659.8
O60701	O60701	UGDH_HUMAN	UGDH	UDP-glucose 6-dehydrogenase	53247.7	53034.7	105336			
O60749	O60749	SNX2_HUMAN	SNX2	Sorting nexin-2		697.635	498.992		2303.55	2499.83
O60763	O60763	USO1_HUMAN	USO1	General vesicular transport factor p115	4597.31	4880.78	4598.47	6562.67	4899	6492.2
O60784	O60784	TOM1_HUMAN	TOM1	Target of Myb1 membrane trafficking protein	5967.4	5121.16	6337.62	3224.32	4349.11	5748.03
O60814	O60814	H2B1K_HUMAN	H2BC12	Histone H2B type 1-K	68228	74367.8	57867.4	222051	197121	270109
O60825	O60825	F262_HUMAN	PFKFB2	6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 2			866.571			
O60884	O60884	DNJA2_HUMAN	DNAJA2	DnaJ homolog subfamily A member 2	3875.3	4936.89	3328.08	3581.74	6810.89	6980.25
O60888	O60888	CUTA_HUMAN	CUTA	Protein CutA	8201.37	7090.66	6481.93	10855.8	7787.66	10238.6
O60925	O60925	PFD1_HUMAN	PFDN1	Prefoldin subunit 1	1952.52	2932.85	1883.35		2422.45	
O60936	O60936	NOL3_HUMAN	NOL3	Nucleolar protein 3	9892.73	8723.9	6667.92	3226.73	5220.12	3811.27
O75083	O75083	WDR1_HUMAN	WDR1	WD repeat-containing protein 1	13636.5	19989.1	25045.1	20344	20066.3	17182.7
O75112	O75112	LDB3_HUMAN	LDB3	LIM domain-binding protein 3	146531	136960	160210	94179.2	211591	169836
O75122	O75122	CLAP2_HUMAN	CLASP2	CLIP-associating protein 2	382.58		647.549	331.247	593.143	
O75153	O75153	CLU_HUMAN	CLUH	Clustered mitochondria protein homolog	1029.74	2101.71	1203.79		1560.4	2032.7
O75155	O75155	CAND2_HUMAN	CAND2	Cullin-associated NEDD8-dissociated protein 2	6556.56	4887.12	8017.29	5969.4	5825.22	4284.59
O75208	O75208	COQ9_HUMAN	COQ9	Ubiquinone biosynthesis protein COQ9, mitochondrial	31639.9	36001.6	29569.9	9630.45	23100.8	6753.64
O75223	O75223	GGCT_HUMAN	GGCT	Gamma-glutamylcyclotransferase	13096.8	8185.94	8990.77		9779.4	3720.83
O75251	O75251	NDUS7_HUMAN	NDUFS7	NADH dehydrogenase [ubiquinone] iron-sulfur protein 7, mitochondrial	17245.9	18196.7	17314.5	9679.6	14950.8	4028.91
O75298	O75298	RTN2_HUMAN	RTN2	Reticulon-2	11819.2	17840	20224.1	16296.6	10171.5	10291.2
O75306	O75306	NDUS2_HUMAN	NDUFS2	NADH dehydrogenase [ubiquinone] iron-sulfur protein 2, mitochondrial	16877.6	13562.2	17974	8028.84	11298.2	3930.63
O75323	O75323	NIPS2_HUMAN	NIPSNAP2	Protein NipSnap homolog 2	22765.5	21991.6	24822.4	18101.8	12716.7	6816.53
O75340	O75340	PDCD6_HUMAN	PDCD6	Programmed cell death protein 6	1048.91			2854.89		2638.01
O75347	O75347	TBCA_HUMAN	TBCA	Tubulin-specific chaperone A	4687.45	2395.36			1998.08	
O75367	O75367	H2AY_HUMAN	MACROH2A1	Core histone macro-H2A.1	7888.12	7627.37	6060.84	16971.4	14961.7	21925.3
O75368	O75368	SH3L1_HUMAN	SH3BGRL	Adapter SH3BGRL				1624.14		2116.18
O75369	O75369	FLNB_HUMAN	FLNB	Filamin-B	1760.3	1492.96	761.343	2407.86	2424.53	3182.56
O75380	O75380	NDUS6_HUMAN	NDUFS6	NADH dehydrogenase [ubiquinone] iron-sulfur protein 6, mitochondrial	6803.35	7665.23	7013.85		4675.24	1531.95
O75390	O75390	CISY_HUMAN	CS	Citrate synthase, mitochondrial	196207	216252	187315	112266	139587	70578
O75396	O75396	SC22B_HUMAN	SEC22B	Vesicle-trafficking protein SEC22b		2453.3	1490.82	2489.41	3295.18	3367.89
O75431	O75431	MTX2_HUMAN	MTX2	Metaxin-2	7097.29	6447.93	6010.64	8692.09	7180.18	5447.57
O75436	O75436	VP26A_HUMAN	VPS26A	Vacuolar protein sorting-associated protein 26A	1355.43	1776.49	1336.49	3549.56	2500.79	4528.5
O75438	O75438	NDUB1_HUMAN	NDUFB1	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 1	4869.73	4946.18	5505.08	2851.36	4457.89	1477
O75439	O75439	MPPB_HUMAN	PMPCB	Mitochondrial-processing peptidase subunit beta	2260.34	3743.48	2914.02	2613.19	5171.17	3881.44
O75489	O75489	NDUS3_HUMAN	NDUFS3	NADH dehydrogenase [ubiquinone] iron-sulfur protein 3, mitochondrial	34302	38292.3	37598.9	22528.4	33528.9	12924.3
O75521	O75521	ECI2_HUMAN	ECI2	Enoyl-CoA delta isomerase 2	8711.48	9180.68	9230.87	9486.54	8629.76	4092.99
O75531	O75531	BAF_HUMAN	BANF1	Barrier-to-autointegration factor	11327.4	16228.8	9912.94	41202.5	20373	19266.4
O75534	O75534	CSDE1_HUMAN	CSDE1	Cold shock domain-containing protein E1	2190.41	2487.32	2459.24	1996.77	2211.78	1713.32
O75569	O75569	PRKRA_HUMAN	PRKRA	Interferon-inducible double-stranded RNA-dependent protein kinase activator A	976.089		604.724			
O75608	O75608	LYPA1_HUMAN	LYPLA1	Acyl-protein thioesterase 1	3606.01	3194.83	2700.01	2608.62	5279.65	3663.93
O75663	O75663	TIPRL_HUMAN	TIPRL	TIP41-like protein	2234.12	3561.4	2642.15		3754.41	2101.06
O75746	O75746	S2512_HUMAN	SLC25A12	Electrogenic aspartate/glutamate antiporter SLC25A12, mitochondrial	15658.3	23113.8	20270.8	9506.13	10648	5581.49
O75821	O75821	EIF3G_HUMAN	EIF3G	Eukaryotic translation initiation factor 3 subunit G	2233.53	2773.43	2253.57	2651.22	3532.47	4429.15
